name,prompt,negative_prompt
3D Character,"3D toy, standing character, tiny, cute, soft lighting, pastel colors, skottie young, blender, pop surrealism, pbr",
Adorable,"Cute and adorable cartoon, fantasy, dreamlike, surrealism, super cute, trending on artstation",ugly
Anime Portrait,"portrait of an anime person, aesthetic, trending on artstation, deviantart, anime key visual",
ArchViz,"by James McDonald and Joarc Architects, home, interior, octane render, deviantart, cinematic, key art, hyperrealism, sun light, sunrays, canon eos c 300, ƒ 1.8, 35 mm, 8k",
Beautiful Portrait,"alluring portrait, intricate, highly detailed, digital painting, artstation, concept art, sharp focus, cinematic lighting, illustration, cgsociety",
Building,"shot 35 mm, realism, octane render, 8k, trending on artstation, 35 mm camera, unreal engine, hyper detailed, photo-realistic maximum detail, volumetric light, realistic matte painting",
Comic Art,"Retro style artwork, comic book art, high details, comic book cover, symmetrical, vibrant colors",
Control Room,"steampunk happy Funny cartoonish at a complex nuclear control room, by Gediminas Pranckevicius H 704, machinarium style, intricate",
CyberPunk,"cyberpunk, in heavy raining futuristic cyberpunk night, sci-fi, intricate, neon light, concept art, soft light,",
Dark,"Style of stephen gammell, watercolors, black and white, swamp, shadowy creatures, dripping, infected",
Digital Art,"intricate, elegant, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration",
Fashion,"photograph of a Fashion model, full body, highly detailed and intricate, golden ratio, vibrant colors, hyper maximalist, futuristic, city background, luxury, elite, cinematic, fashion, depth of field, colorful, glow",
Figurine,"plastic funky pop figurine, product, studio shot, plain background, diffused lighting, centered",
Horror,"dark  themed background. very dark and scary horror vibes. hyper intricate details. purple, red, white colors. hyperrealistic artwork style. scary horror metal music vibe. godrays, gorgeous, amazing, intricate",
Isometric,"Detailed isometric render, unreal engine voxel render, video game, very cozy, nostalgia, c4d render, ultra detailed, octane render, volumetric lighting, 8k post-production isometric, isometric render, tiltshift",
Logo,"2d vector illustration, emblem logo, 2d flat, centered, illustrator, symetrical, victory, 2D team logo, company logo design",
Low Poly,"Low poly character, 3d isometric render, plain background, unity, kawaii, cute, blender, polycount",
Nightmare,"nightmare by tim burton, monster dreams, v-ray octane, highly detailed by artgem, art, trending artstation, blender, vivid color, steampunk, messi, cinematic light, alexa, ultra primme",
Pencil Sketch,"Hyperrealist pencil sketch drawing, black and white painting, fantasy art, photo realistic, dynamic lighting, artstation, poster, volumetric lighting, very detailed, 4k, da vinci style made with a charcoal pencil",
Photograph,"high quality photography, 3 point lighting, flash with softbox, 4k, Canon EOS R3, hdr, smooth, sharp focus, high resolution, award winning photo, 80mm, f2.8, bokeh",
Postapocalyptic,"fog, postapocalyptic, overgrown with plant life and ivy ",
Robotize,"steampunk robot happy Funny cartoonish, by Gediminas Pranckevicius",
Schematic,"23rd century scientific schematics, blueprint, hyperdetailed vector technical documents, callouts, legend, patent registry",
Sticker,"Sticker, Cute sticker, Kawaii sticker, die-cut, plain background, illustration minimalism, vector, pastel colors, kawaii",
Stuffed Plush,"kawaii plush toy, very cute, visible stitch line, soft lighting, vibrant, studio lighting, PBR, realistic texture, smooth",
Woolitize,"puppet,intricated wool material,elegant,highly detailed,patchwork,sewing thread,patches,fabric texture,knitting,badges,embroidery",needle
000,"absurdres, highres, ultra detailed, (subject),
BREAK,
",
BREAK,", BREAK ",
999,"ultra detailed, Sharp focus, big depth of field, Masterpiece, trending on artstation, (extremely detailed CG unity 8k wallpaper),  professional majestic","(worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, bad anatomy, out of view, cut off, ugly, deformed, mutated, EasyNegative, glans, extra fingers, fewer fingers, (ugly eyes, deformed iris, deformed pupils, fused lips and teeth:1.2), (un-detailed skin:1.2), text, cropped, out of frame, jpeg artifacts, ugly, duplicate, morbid, mutilated, extra fingers, mutated hands, poorly drawn hands, poorly drawn face, mutation, deformed, blurry, dehydrated, bad anatomy, bad proportions, extra limbs, cloned face, disfigured, gross proportions, malformed limbs, missing arms, missing legs, extra arms, extra legs, fused fingers, too many fingers, long neck"
